long;countryOrRegion;provinceOrState;county;isoCode;lat;totalConfirmedCases;newlyConfirmedCases;totalDeaths;newDeaths;totalRecoveredCases;newlyRecoveredCases
144.793731;United States;Guam;;;13.444304;32;0;1;0;0;0
-66.590149;United States;Puerto Rico;;;18.220833;21524;0;83;0;391;0
-64.896335;United States;U.S. Virgin Islands;;;18.335765;17;0;0;0;0;0
-86.902298;United States;Alabama;;US-AL;32.318231;98301;0;1735;0;37923;0
-154.493062;United States;Alaska;;US-AK;63.588753;4347;0;28;0;1238;0
-111.093731;United States;Arizona;;US-AZ;34.048928;185104;0;4085;0;24815;0
-91.831833;United States;Arkansas;;US-AR;35.20105;48039;0;523;0;40360;0
-119.417932;United States;California;;US-CA;36.778261;549876;0;10625;0;212590;0
-105.782067;United States;Colorado;;US-CO;39.550051;50098;0;1865;0;18054;0
-73.087749;United States;Connecticut;;US-CT;41.603221;50320;0;4442;0;27268;0
139.638;United States;Cruise Ship: Diamond Princess;;;35.4437;46;0;0;0;0;0
-122.6655;United States;Cruise Ship: Grand Princess;;;37.6489;21;0;0;0;0;0
-75.52767;United States;Delaware;;US-DE;38.910832;15445;0;588;0;8392;0
-77.0369;United States;District of Columbia;;US-DC;38.9072;12589;0;589;0;10118;0
-81.515754;United States;Florida;;US-FL;27.664827;518075;0;15419;0;50278;0
-82.907123;United States;Georgia;;US-GA;32.157435;209004;0;4120;0;35860;0
-155.665857;United States;Hawaii;;US-HI;19.898682;3115;0;31;0;1467;0
-114.742041;United States;Idaho;;US-ID;44.068202;24074;0;232;0;8738;0
-89.398528;United States;Illinois;;US-IL;40.633125;191808;0;7822;0;144647;0
-85.602364;United States;Indiana;;US-IN;40.551217;80543;0;3026;0;54068;0
-93.097702;United States;Iowa;;US-IA;41.878003;48112;69;925;7;36850;491
-98.484246;United States;Kansas;;US-KS;39.011902;31044;0;389;0;18278;0
-84.270018;United States;Kentucky;;US-KY;37.839333;35158;0;788;0;8523;0
-92.145024;United States;Louisiana;;US-LA;31.244823;128801;0;4207;0;89083;0
-69.445469;United States;Maine;;US-ME;45.253783;4021;0;124;0;3479;0
-76.641271;United States;Maryland;;US-MD;39.045755;93806;0;3565;0;5838;0
-71.382437;United States;Massachusetts;;US-MA;42.407211;120291;0;8709;0;99021;0
-85.602364;United States;Michigan;;US-MI;44.314844;95555;0;6537;0;60022;0
-94.6859;United States;Minnesota;;US-MN;46.729553;59185;0;1681;0;51940;0
-89.398528;United States;Mississippi;;US-MS;32.354668;65524;0;1851;0;42391;0
-91.831833;United States;Missouri;;US-MO;37.964253;58070;0;1389;0;9795;0
-110.362566;United States;Montana;;US-MT;46.879682;4772;0;71;0;3122;0
-99.901813;United States;Nebraska;;US-NE;41.492537;28104;0;356;0;20333;0
-116.419389;United States;Nevada;;US-NV;38.80261;54633;0;920;0;25020;0
-71.572395;United States;New Hampshire;;US-NH;43.193852;6779;0;419;0;5995;0
-74.405661;United States;New Jersey;;US-NJ;40.058324;189855;0;15925;0;146417;0
-105.032363;United States;New Mexico;;US-NM;34.97273;22427;0;678;0;9166;0
-74.217933;United States;New York;;US-NY;43.299428;448991;0;33546;0;333455;0
-79.0193;United States;North Carolina;;US-NC;35.759573;133593;0;2191;0;105093;0
-101.002012;United States;North Dakota;;US-ND;47.551493;7331;0;110;0;6164;0
145.75;United States;Northern Mariana Islands;;;15.183333;61;0;4;0;11;0
-82.907123;United States;Ohio;;US-OH;40.417287;98694;0;3664;0;75975;0
-97.092877;United States;Oklahoma;;US-OK;35.007752;42255;0;602;0;35001;0
-120.554201;United States;Oregon;;US-OR;43.804133;20660;0;351;0;4111;0
-77.194525;United States;Pennsylvania;;US-PA;41.203322;122080;0;7383;0;90304;0
-71.477429;United States;Rhode Island;;US-RI;41.580095;19738;0;1014;0;1866;0
-81.163725;United States;South Carolina;;US-SC;33.836081;98223;0;1964;0;37798;0
-99.901813;United States;South Dakota;;US-SD;43.969515;9390;0;146;0;8244;0
-86.580447;United States;Tennessee;;US-TN;35.517491;118809;0;1571;0;79357;0
-99.901813;United States;Texas;;US-TX;31.968599;497406;0;8751;0;331668;0
-111.093731;United States;Utah;;US-UT;39.32098;43898;0;343;0;32371;0
-72.577841;United States;Vermont;;US-VT;44.558803;1448;0;59;0;1260;0
-78.656894;United States;Virginia;;US-VA;37.431573;97882;0;2317;0;12725;0
-120.740139;United States;Washington;;US-WA;47.751074;64138;0;1750;0;21023;0
-80.454903;United States;West Virginia;;;38.597626;7456;0;128;0;5510;0
-88.787868;United States;Wisconsin;;US-WI;43.78444;59135;0;996;0;48244;0
-107.290284;United States;Wyoming;;US-WY;43.075968;3003;0;28;0;2420;0
;United States;Veteran Affairs;;;;6692;0;413;0;0;0
;United States;US Military;;;;6213;0;26;0;1947;0
;United States;Navajo Nation;;;;1540;0;58;0;0;0
;United States;Federal Prisons;;;;1047;0;26;0;507;0
;United States;Wuhan Repatriated;;;;3;0;0;0;0;0
